Kod;Nazwa;liczba_ludnosci_na_1_miejsce_w_kinach_stalych;boiska;gestosc_zaludnienia_na_km_2;dochody_budzetow_powiatow_2019;miejsca_na_widowni_w_kinach_stalych_2019;;;;;;;;;
1610000;Powiat prudnicki;267;27;97;89113959,65;207;;;;;1610000;Powiat prudnicki;27;;0
1611000;Powiat strzelecki;;34;100;58948886,77;;;;;;1611000;Powiat strzelecki;34;;0
1661000;Powiat m.Opole;88;8;860;81873752,82;1447;;;;;1661000;Powiat m.Opole;8;;0
1801000;Powiat bieszczadzki;115;3;19;;189;;;;;1801000;Powiat bieszczadzki;3;;0
1802000;Powiat brzozowski;228;8;122;45225299,51;288;;;;;1802000;Powiat brzozowski;8;;0
1803000;Powiat dębicki;387;26;174;68309856,21;350;;;;;1803000;Powiat dębicki;26;;0
1804000;Powiat jarosławski;464;59;117;163128267,4;259;;;;;1804000;Powiat jarosławski;59;;0
1805000;Powiat jasielski;607;18;137;177944893,5;187;;;;;1805000;Powiat jasielski;18;;0
1806000;Powiat kolbuszowski;;13;81;138055876,8;;;;;;1806000;Powiat kolbuszowski;13;;0
1807000;Powiat krośnieński;832;33;113;57173300,38;135;;;;;1807000;Powiat krośnieński;33;;0
1808000;Powiat leżajski;108;13;119;89740167,38;643;;;;;1808000;Powiat leżajski;13;;0
1809000;Powiat lubaczowski;;16;42;108689689,3;;;;;;1809000;Powiat lubaczowski;16;;0
1810000;Powiat łańcucki;;29;179;84441586,6;;;;;;1810000;Powiat łańcucki;29;;0
1811000;Powiat mielecki;102;39;155;90176607,46;1337;;;;;1811000;Powiat mielecki;39;;0
1812000;Powiat niżański;354;20;85;164410034,9;188;;;;;1812000;Powiat niżański;20;;0
1813000;Powiat przemyski;;32;61;79669692,29;;;;;;1813000;Powiat przemyski;32;;0
1814000;Powiat przeworski;176;18;112;60067955,54;444;;;;;1814000;Powiat przeworski;18;;0
1815000;Powiat ropczycko-sędziszowski;269;12;136;77751320,02;277;;;;;1815000;Powiat ropczycko-sędziszowski;12;;0
1816000;Powiat rzeszowski;;48;148;98122216,28;;;;;;1816000;Powiat rzeszowski;48;;0
1817000;Powiat sanocki;277;37;82;163954567;341;;;;;1817000;Powiat sanocki;37;;0
1818000;Powiat stalowowolski;72;22;127;103949741,3;1480;;;;;1818000;Powiat stalowowolski;22;;0
1819000;Powiat strzyżowski;205;8;122;121454427,1;300;;;;;1819000;Powiat strzyżowski;8;;0
1820000;Powiat tarnobrzeski;200;13;102;80449642,8;265;;;;;1820000;Powiat tarnobrzeski;13;;0
1821000;Powiat leski;;10;32;49340965,67;;;;;;1821000;Powiat leski;10;;0
1861000;Powiat m.Krosno;30;5;1064;31431246,77;1541;;;;;1861000;Powiat m.Krosno;5;;0
1862000;Powiat m.Przemyśl;67;;1314;;902;;;;;;;;;
1863000;Powiat m.Rzeszów;44;10;1550;;4489;;;;;1863000;Powiat m.Rzeszów;10;;0
1864000;Powiat m.Tarnobrzeg;147;9;547;;319;;;;;1864000;Powiat m.Tarnobrzeg;9;;0
2001000;Powiat augustowski;346;7;35;;168;;;;;2001000;Powiat augustowski;7;;0
2002000;Powiat białostocki;1496;30;50;79061905,31;100;;;;;2002000;Powiat białostocki;30;;0
2003000;Powiat bielski;;6;39;172136679,8;;;;;;2003000;Powiat bielski;6;;0
2004000;Powiat grajewski;160;4;49;73100211,8;295;;;;;2004000;Powiat grajewski;4;;0
2005000;Powiat hajnowski;;9;26;67559247,95;;;;;;2005000;Powiat hajnowski;9;;0
2006000;Powiat kolneński;;3;40;55365796,93;;;;;;2006000;Powiat kolneński;3;;0
2007000;Powiat łomżyński;;9;38;41265945,36;;;;;;2007000;Powiat łomżyński;9;;0
2008000;Powiat moniecki;;10;29;53134545,76;;;;;;2008000;Powiat moniecki;10;;0
2009000;Powiat sejneński;;;23;53915040,85;;;;;;;;;;
2010000;Powiat siemiatycki;;7;30;32375521,05;;;;;;2010000;Powiat siemiatycki;7;;0
2011000;Powiat sokólski;390;6;32;64025508,58;171;;;;;2011000;Powiat sokólski;6;;0
2012000;Powiat suwalski;;5;27;98934690,23;;;;;;2012000;Powiat suwalski;5;;0
2013000;Powiat wysokomazowiecki;;9;44;40362683,2;;;;;;2013000;Powiat wysokomazowiecki;9;;0
2014000;Powiat zambrowski;127;4;59;131783227,6;343;;;;;2014000;Powiat zambrowski;4;;0
2061000;Powiat m.Białystok;69;9;2913;59485098,9;4328;;;;;2061000;Powiat m.Białystok;9;;0
2062000;Powiat m.Łomża;185;4;1927;;340;;;;;2062000;Powiat m.Łomża;4;;0
2063000;Powiat m.Suwałki;116;4;1065;;601;;;;;2063000;Powiat m.Suwałki;4;;0
2201000;Powiat bytowski;433;46;36;;183;;;;;2201000;Powiat bytowski;46;;0
2202000;Powiat chojnicki;204;31;72;115090685,6;479;;;;;2202000;Powiat chojnicki;31;;0
2203000;Powiat człuchowski;249;13;36;136982476,3;225;;;;;2203000;Powiat człuchowski;13;;0
2204000;Powiat gdański;685;24;149;107092446,1;173;;;;;2204000;Powiat gdański;24;;0
2205000;Powiat kartuski;6970;24;124;99995169,29;20;;;;;2205000;Powiat kartuski;24;;0
2206000;Powiat kościerski;286;19;62;146809862,4;254;;;;;2206000;Powiat kościerski;19;;0
2207000;Powiat kwidzyński;222;28;100;109449789;374;;;;;2207000;Powiat kwidzyński;28;;0
2208000;Powiat lęborski;144;12;93;98067748,6;458;;;;;2208000;Powiat lęborski;12;;0
2209000;Powiat malborski;;8;128;85312232,83;;;;;;2209000;Powiat malborski;8;;0
2210000;Powiat nowodworski;;12;53;91476302,88;;;;;;2210000;Powiat nowodworski;12;;0
2211000;Powiat pucki;482;38;149;46812089,71;180;;;;;2211000;Powiat pucki;38;;0
2212000;Powiat słupski;408;40;43;93205962,66;242;;;;;2212000;Powiat słupski;40;;0
2213000;Powiat starogardzki;130;34;95;120724180,5;989;;;;;2213000;Powiat starogardzki;34;;0
2214000;Powiat tczewski;153;22;166;156811114,1;754;;;;;2214000;Powiat tczewski;22;;0
2215000;Powiat wejherowski;175;31;169;161385646,5;1247;;;;;2215000;Powiat wejherowski;31;;0
2216000;Powiat sztumski;180;10;57;210335774,8;229;;;;;2216000;Powiat sztumski;10;;0
2261000;Powiat m.Gdańsk;59;23;1798;50911534,42;7981;;;;;2261000;Powiat m.Gdańsk;23;;0
2262000;Powiat m.Gdynia;154;13;1823;;1604;;;;;2262000;Powiat m.Gdynia;13;;0
2263000;Powiat m.Słupsk;77;3;2102;;1174;;;;;2263000;Powiat m.Słupsk;3;;0
2264000;Powiat m.Sopot;31;2;2067;;1155;;;;;2264000;Powiat m.Sopot;2;;0
2401000;Powiat będziński;779;20;407;;190;;;;;2401000;Powiat będziński;20;;0
2402000;Powiat bielski;163;38;362;131174539,6;1020;;;;;2402000;Powiat bielski;38;;0
2403000;Powiat cieszyński;557;42;244;149226625,6;320;;;;;2403000;Powiat cieszyński;42;;0
2404000;Powiat częstochowski;;27;88;213879843;;;;;;2404000;Powiat częstochowski;27;;0
2405000;Powiat gliwicki;608;41;174;117622267,9;190;;;;;2405000;Powiat gliwicki;41;;0
2406000;Powiat kłobucki;;13;95;96173374,51;;;;;;2406000;Powiat kłobucki;13;;0
2407000;Powiat lubliniecki;236;24;93;71389737,35;324;;;;;2407000;Powiat lubliniecki;24;;0
2408000;Powiat mikołowski;;16;425;96034472,91;;;;;;2408000;Powiat mikołowski;16;;0
2409000;Powiat myszkowski;163;6;148;106903824,4;434;;;;;2409000;Powiat myszkowski;6;;0
2410000;Powiat pszczyński;;24;237;66891872,19;;;;;;2410000;Powiat pszczyński;24;;0
2411000;Powiat raciborski;189;41;199;120880732,2;574;;;;;2411000;Powiat raciborski;41;;0
2412000;Powiat rybnicki;;29;350;141672833,3;;;;;;2412000;Powiat rybnicki;29;;0
2413000;Powiat tarnogórski;210;36;218;63789325,01;669;;;;;2413000;Powiat tarnogórski;36;;0
2414000;Powiat bieruńsko-lędziński;;17;378;181310782,5;;;;;;2414000;Powiat bieruńsko-lędziński;17;;0
2415000;Powiat wodzisławski;242;42;548;50490208,26;650;;;;;2415000;Powiat wodzisławski;42;;0
2416000;Powiat zawierciański;195;12;117;173239649,2;603;;;;;2416000;Powiat zawierciański;12;;0
2417000;Powiat żywiecki;623;40;147;129111659,1;245;;;;;2417000;Powiat żywiecki;40;;0
2461000;Powiat m.Bielsko-Biała;54;12;1371;173116932;3136;;;;;2461000;Powiat m.Bielsko-Biała;12;;0
2462000;Powiat m.Bytom;94;7;2380;;1750;;;;;2462000;Powiat m.Bytom;7;;0
2463000;Powiat m.Chorzów;2695;8;3243;;40;;;;;2463000;Powiat m.Chorzów;8;;0
2464000;Powiat m.Częstochowa;60;4;1380;;3680;;;;;2464000;Powiat m.Częstochowa;4;;0
2465000;Powiat m.Dąbrowa Górnicza;86;1;633;;1391;;;;;2465000;Powiat m.Dąbrowa Górnicza;1;;0
2466000;Powiat m.Gliwice;66;18;1334;;2721;;;;;2466000;Powiat m.Gliwice;18;;0
2467000;Powiat m.Jastrzębie-Zdrój;190;9;1040;;466;;;;;2467000;Powiat m.Jastrzębie-Zdrój;9;;0
2468000;Powiat m.Jaworzno;133;6;597;;685;;;;;2468000;Powiat m.Jaworzno;6;;0
2469000;Powiat m.Katowice;31;18;1778;;9420;;;;;2469000;Powiat m.Katowice;18;;0
2470000;Powiat m.Mysłowice;139;2;1137;;537;;;;;2470000;Powiat m.Mysłowice;2;;0
2471000;Powiat m.Piekary Śląskie;216;6;1376;;255;;;;;2471000;Powiat m.Piekary Śląskie;6;;0
2472000;Powiat m.Ruda Śląska;73;3;1767;;1889;;;;;2472000;Powiat m.Ruda Śląska;3;;0
2473000;Powiat m.Rybnik;49;24;931;;2801;;;;;2473000;Powiat m.Rybnik;24;;0
2474000;Powiat m.Siemianowice Śląskie;;4;2621;;;;;;;2474000;Powiat m.Siemianowice Śląskie;4;;0
2475000;Powiat m.Sosnowiec;96;5;2196;;2086;;;;;2475000;Powiat m.Sosnowiec;5;;0
2476000;Powiat m.Świętochłowice;;2;3723;;;;;;;2476000;Powiat m.Świętochłowice;2;;0
2477000;Powiat m.Tychy;108;9;1560;;1177;;;;;2477000;Powiat m.Tychy;9;;0
2478000;Powiat m.Zabrze;44;17;2144;;3949;;;;;2478000;Powiat m.Zabrze;17;;0
2479000;Powiat m.Żory;226;6;966;;277;;;;;2479000;Powiat m.Żory;6;;0
2601000;Powiat buski;157;11;74;;457;;;;;2601000;Powiat buski;11;;0
2602000;Powiat jędrzejowski;343;24;68;105763993;249;;;;;2602000;Powiat jędrzejowski;24;;0
2603000;Powiat kazimierski;1681;6;80;98678633,19;20;;;;;2603000;Powiat kazimierski;6;;0
2604000;Powiat kielecki;9603;45;94;54015027,91;22;;;;;2604000;Powiat kielecki;45;;0
2605000;Powiat konecki;;10;70;203303197,5;;;;;;2605000;Powiat konecki;10;;0
2606000;Powiat opatowski;2604;2;57;96018729,72;20;;;;;2606000;Powiat opatowski;2;;0
2607000;Powiat ostrowiecki;235;14;177;110646592,8;464;;;;;2607000;Powiat ostrowiecki;14;;0
2608000;Powiat pińczowski;;2;64;144086424,6;;;;;;2608000;Powiat pińczowski;2;;0
2609000;Powiat sandomierski;1572;4;114;55168043,89;49;;;;;2609000;Powiat sandomierski;4;;0
2610000;Powiat skarżyski;122;6;187;83820332,02;605;;;;;2610000;Powiat skarżyski;6;;0
2611000;Powiat starachowicki;87;8;171;109770981,2;1030;;;;;2611000;Powiat starachowicki;8;;0
2612000;Powiat staszowski;281;6;78;108463096,1;255;;;;;2612000;Powiat staszowski;6;;0
2613000;Powiat włoszczowski;198;9;50;79159596;228;;;;;2613000;Powiat włoszczowski;9;;0
2661000;Powiat m.Kielce;48;7;1777;58324821,41;4025;;;;;2661000;Powiat m.Kielce;7;;0
2801000;Powiat bartoszycki;;9;44;;;;;;;2801000;Powiat bartoszycki;9;;0
2802000;Powiat braniewski;134;7;34;86186272,94;306;;;;;2802000;Powiat braniewski;7;;0
2803000;Powiat działdowski;;12;68;65511527,67;;;;;;2803000;Powiat działdowski;12;;0
2804000;Powiat elbląski;260;15;40;74723574,55;220;;;;;2804000;Powiat elbląski;15;;0
2805000;Powiat ełcki;100;3;82;72757273,68;920;;;;;2805000;Powiat ełcki;3;;0
2806000;Powiat giżycki;321;16;51;134742578,3;176;;;;;2806000;Powiat giżycki;16;;0
2807000;Powiat iławski;250;47;67;90207050,5;371;;;;;2807000;Powiat iławski;47;;0
2808000;Powiat kętrzyński;380;7;51;120341056;164;;;;;2808000;Powiat kętrzyński;7;;0
2809000;Powiat lidzbarski;130;5;45;84117810,56;316;;;;;2809000;Powiat lidzbarski;5;;0
2810000;Powiat mrągowski;155;10;47;61632814,24;321;;;;;2810000;Powiat mrągowski;10;;0
2811000;Powiat nidzicki;;;34;60734994,82;;;;;;;;;;
2812000;Powiat nowomiejski;;17;63;55763396,41;;;;;;2812000;Powiat nowomiejski;17;;0
2813000;Powiat olecki;157;13;39;46189491,18;218;;;;;2813000;Powiat olecki;13;;0
2814000;Powiat olsztyński;1378;51;45;58624383,04;92;;;;;2814000;Powiat olsztyński;51;;0
2815000;Powiat ostródzki;224;35;59;153382488,5;465;;;;;2815000;Powiat ostródzki;35;;0
2816000;Powiat piski;;1;32;157617437,2;;;;;;2816000;Powiat piski;1;;0
2817000;Powiat szczycieński;;14;36;73433487,56;;;;;;2817000;Powiat szczycieński;14;;0
2818000;Powiat gołdapski;178;3;35;83284287,88;150;;;;;2818000;Powiat gołdapski;3;;0
2819000;Powiat węgorzewski;;7;33;43714092,13;;;;;;2819000;Powiat węgorzewski;7;;0
2861000;Powiat m.Elbląg;120;3;1495;46965476,34;995;;;;;2861000;Powiat m.Elbląg;3;;0
2862000;Powiat m.Olsztyn;52;5;1947;;3298;;;;;2862000;Powiat m.Olsztyn;5;;0
3001000;Powiat chodzieski;102;17;69;;461;;;;;3001000;Powiat chodzieski;17;;0
3002000;Powiat czarnkowsko-trzcianecki;357;30;48;55487038,99;244;;;;;3002000;Powiat czarnkowsko-trzcianecki;30;;0
3003000;Powiat gnieźnieński;424;21;116;101106400,4;343;;;;;3003000;Powiat gnieźnieński;21;;0
3004000;Powiat gostyński;169;24;94;154185450,2;448;;;;;3004000;Powiat gostyński;24;;0
3005000;Powiat grodziski;;15;81;94189986,41;;;;;;3005000;Powiat grodziski;15;;0
3006000;Powiat jarociński;;10;122;52464175,01;;;;;;3006000;Powiat jarociński;10;;0
3007000;Powiat kaliski;;20;72;92257901,41;;;;;;3007000;Powiat kaliski;20;;0
3008000;Powiat kępiński;321;42;93;70134695,24;176;;;;;3008000;Powiat kępiński;42;;0
3009000;Powiat kolski;341;15;86;75947560,42;254;;;;;3009000;Powiat kolski;15;;0
3010000;Powiat koniński;;57;82;101236679,7;;;;;;3010000;Powiat koniński;57;;0
3011000;Powiat kościański;;22;110;110795897,8;;;;;;3011000;Powiat kościański;22;;0
3012000;Powiat krotoszyński;216;24;108;89435198,89;357;;;;;3012000;Powiat krotoszyński;24;;0
3013000;Powiat leszczyński;;18;71;99280119,3;;;;;;3013000;Powiat leszczyński;18;;0
3014000;Powiat międzychodzki;;11;50;68773411,36;;;;;;3014000;Powiat międzychodzki;11;;0
3015000;Powiat nowotomyski;;40;75;59417732,07;;;;;;3015000;Powiat nowotomyski;40;;0
3016000;Powiat obornicki;;2;84;78018169,73;;;;;;3016000;Powiat obornicki;2;;0
3017000;Powiat ostrowski;404;28;139;62308441,01;400;;;;;3017000;Powiat ostrowski;28;;0
3018000;Powiat ostrzeszowski;184;8;72;190003134,1;301;;;;;3018000;Powiat ostrzeszowski;8;;0
3019000;Powiat pilski;130;40;107;77547726,14;1049;;;;;3019000;Powiat pilski;40;;0
3020000;Powiat pleszewski;412;61;88;177444280,1;153;;;;;3020000;Powiat pleszewski;61;;0
3021000;Powiat poznański;2170;98;210;91647487,58;184;;;;;3021000;Powiat poznański;98;;0
3022000;Powiat rawicki;329;13;109;393042294,6;183;;;;;3022000;Powiat rawicki;13;;0
3023000;Powiat słupecki;168;14;70;65246778,83;351;;;;;3023000;Powiat słupecki;14;;0
3024000;Powiat szamotulski;242;66;82;77909028,35;378;;;;;3024000;Powiat szamotulski;66;;0
3025000;Powiat średzki;430;19;94;90115647,68;137;;;;;3025000;Powiat średzki;19;;0
3026000;Powiat śremski;530;16;107;59084932,71;116;;;;;3026000;Powiat śremski;16;;0
3027000;Powiat turecki;273;31;90;72227871,45;307;;;;;3027000;Powiat turecki;31;;0
3028000;Powiat wągrowiecki;245;22;68;96483023,63;287;;;;;3028000;Powiat wągrowiecki;22;;0
3029000;Powiat wolsztyński;;16;85;85976287,98;;;;;;3029000;Powiat wolsztyński;16;;0
3030000;Powiat wrzesiński;406;19;111;83928068,2;192;;;;;3030000;Powiat wrzesiński;19;;0
3031000;Powiat złotowski;;45;42;120017226,2;;;;;;3031000;Powiat złotowski;45;;0
3061000;Powiat m.Kalisz;33;3;1444;79290646,03;3034;;;;;3061000;Powiat m.Kalisz;3;;0
3062000;Powiat m.Konin;52;12;893;;1425;;;;;3062000;Powiat m.Konin;12;;0
3063000;Powiat m.Leszno;76;4;1993;;836;;;;;3063000;Powiat m.Leszno;4;;0
3064000;Powiat m.Poznań;34;39;2042;;15775;;;;;3064000;Powiat m.Poznań;39;;0
3201000;Powiat białogardzki;210;43;56;;226;;;;;3201000;Powiat białogardzki;43;;0
3202000;Powiat choszczeński;;17;36;58357878,53;;;;;;3202000;Powiat choszczeński;17;;0
3203000;Powiat drawski;122;21;32;65201411,96;467;;;;;3203000;Powiat drawski;21;;0
3204000;Powiat goleniowski;197;15;51;92591200,37;419;;;;;3204000;Powiat goleniowski;15;;0
3205000;Powiat gryficki;339;18;59;103222676,6;178;;;;;3205000;Powiat gryficki;18;;0
3206000;Powiat gryfiński;585;48;44;88895914,83;140;;;;;3206000;Powiat gryfiński;48;;0
3207000;Powiat kamieński;149;15;47;97032003,86;316;;;;;3207000;Powiat kamieński;15;;0
3208000;Powiat kołobrzeski;342;23;110;57145378,27;232;;;;;3208000;Powiat kołobrzeski;23;;0
3209000;Powiat koszaliński;482;24;40;109166970,5;138;;;;;3209000;Powiat koszaliński;24;;0
3210000;Powiat myśliborski;181;28;56;108627239;363;;;;;3210000;Powiat myśliborski;28;;0
3211000;Powiat policki;;23;121;87843628,07;;;;;;3211000;Powiat policki;23;;0
3212000;Powiat pyrzycki;139;25;54;111721096,4;283;;;;;3212000;Powiat pyrzycki;25;;0
3213000;Powiat sławieński;136;22;54;51298038,74;412;;;;;3213000;Powiat sławieński;22;;0
3214000;Powiat stargardzki;190;51;79;66248577,35;632;;;;;3214000;Powiat stargardzki;51;;0
3215000;Powiat szczecinecki;261;32;44;139609589;298;;;;;3215000;Powiat szczecinecki;32;;0
3216000;Powiat świdwiński;167;7;43;118565773,2;279;;;;;3216000;Powiat świdwiński;7;;0
3217000;Powiat wałecki;128;22;37;73395538,54;414;;;;;3217000;Powiat wałecki;22;;0
3218000;Powiat łobeski;;7;34;67238945,86;;;;;;3218000;Powiat łobeski;7;;0
3261000;Powiat m.Koszalin;79;2;1089;56273434,62;1350;;;;;3261000;Powiat m.Koszalin;2;;0
3262000;Powiat m.Szczecin;84;36;1337;;4759;;;;;3262000;Powiat m.Szczecin;36;;0
3263000;Powiat m.Świnoujście;113;1;202;;362;;;;;3263000;Powiat m.Świnoujście;1;;0
;;;;;;;;;;;;;;;3262000
;;;;;;;;;;;;;;;3263000
